EMPRESA	TICKER	CNPJ
SMARTFIT	SMFT3	07.594.978/0001-78
SMILES FIDELIDADE	SMLS3	05.730.375/0001-20
SOMOS EDUCAÇÃO	SEDU3	02.541.982/0001-54
SONAE SIERRA BRASIL	SSBR3	05.878.397/0001-32
SPRINGS GLOBAL	SGPS3	07.718.269/0001-57
SUL AMERICA	SULA11/SULA3/SULA4	29.978.814/0001-87
SUZANO PAPEL E CELULOSE	SUZB3	16.404.287/0001-55
T4F ENTRETENIMENTO	SHOW3	02.860.694/0001-62
TAURUS ARMAS	TASA3/TASA4	92.781.335/0001-02
TC	TRAD3	26.345.998/0001-50
TECHNOS	TECN3	09.295.063/0001-97
TECNISA	TCSA3	08.065.557/0001-12
TECNOSOLO ENGENHARIA	TCNO3/TCNO4	33.111.246/0001-90
TEGMA GESTAO LOGISTICA	TGMA3	02.351.144/0001-18
TEGRA	TEGA3	30.213.493/0001-09
TEKA-TECELAGEM KUEHNRICH	TEKA3/TEKA4	82.636.986/0001-55
TELEFÔNICA BRASIL	VIVT3/VIVT4	02.558.157/0001-62
TERRA SANTA AGRO	TESA3	05.799.312/0001-20
TIM	TIMP3	02.558.115/0001-21
TOTVS	TOTS3	53.113.791/0001-22
TRACK & FIELD	TFCO4	59.418.806/0001-47
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA	TAEE11/TAEE3/TAEE4	07.859.971/0001-30
TRISUL	TRIS3	08.811.643/0001-27
TRIUNFO PART	TPIS3	03.014.553/0001-91
TUPY	TUPY3	84.683.374/0001-49
ULTRAPAR PARTICIPACOES	UGPA3	33.256.439/0001-39
UNICASA INDÚSTRIA DE MÓVEIS	UCAS3	90.441.460/0001-48
UNIFIQUE	FIQE3	2.255.187/0001-08
UNIPAR CARBOCLORO S.A.	UNIP3/UNIP5/UNIP6	33.958.695/0001-78
USINAS SIDERÚRGICAS DE MINAS GERAIS – USIMINAS	USIM3/USIM5/USIM6	60.894.730/0001-05
VALE	VALE3	33.592.510/0001-54
VALID SOLUÇÕES	VLID3	33.113.309/0001-47
VIA VAREJO	VIIA3	33.041.260/0652-90
VIBRA ENERGIA	VBBR3	34.274.233/0001-02
VITTIA	VITT3	45.365.558/0001-09
VIVARA	VIVA3	33.839.910/0001-11
VIVEO	VVEO3	12.420.164/0001-57
VULCABRAS/AZALEIA	VULC3	50.926.955/0001-42
WEG	WEGE3	84.429.695/0001-11
WESTWING	WEST3	14.776.142/0001-50
WHIRLPOOL	WHRL3/WHRL4	59.105.999/0001-86
WILSON SONS	WSON33	05.721.735/0001-28
WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS	WIZC3	42.278.473/0001-03
YDUQS	YDUQ3	08.807.432/0001-10
ZAMP SA	ZAMP3	13.574.594/0001-96
